Machine,MachineID,RNG,Mean,Median,Stddev,Min,Max,FirstQuartile,ThirdQuartile,P99_9,P99_0,P95_0,P90_0,LastRand
Machine 1,camembert,LocalityAware,21.4086,21.164,1.24831,20.794,177.082,21.053,21.534,42.069,26.455,21.978,21.793,2634405289
Machine 1,camembert,CONG,22.2578,22.052,0.979835,21.645,112.998,21.941,22.348,32.745,27.38,22.866,22.718,2280858665
Machine 1,camembert,GLIBC_CRAND,22.3048,22.052,1.00183,21.645,163.318,21.941,22.459,33.744,27.38,22.866,22.718,1087058201
Machine 1,camembert,DRAND48,22.2927,22.052,0.971999,21.645,148.37,21.941,22.459,33.226,27.38,22.866,22.718,1107936137
Machine 1,camembert,Taus88,54.3821,53.835,1.77325,52.799,195.323,53.613,54.649,68.894,63.159,56.129,55.426,2325260976
Machine 1,camembert,Taus113,69.6682,68.783,2.1537,67.525,182.225,68.746,70.004,87.875,79.661,72.187,71.299,265456010
Machine 1,camembert,JKISS,70.4575,69.634,2.0372,68.783,171.31,69.634,70.892,88.06,79.994,72.668,71.78,1214960182
Machine 1,camembert,JKISS32,77.6789,76.701,2.17057,75.739,202.612,76.664,78.107,96.422,87.653,80.031,79.513,3303862722
Machine 1,camembert,mt19937,39.8716,45.806,8.35984,28.823,142.043,29.674,46.361,58.904,52.91,47.582,47.212,4069374908
Machine 1,camembert,KISS11,87.7419,85.1,10.2777,83.583,213.157,84.619,86.654,148.962,138.232,95.571,88.282,3049490538
Machine 1,camembert,XorShift32,23.4201,23.125,1.05603,22.533,118.067,22.977,23.569,34.558,28.379,24.42,24.087,1410523384
Machine 1,camembert,XorShift128,69.6752,69.153,2.01257,67.932,208.014,68.746,70.004,86.987,78.995,71.743,71.299,652624301
Machine 1,camembert,XorWow,102.071,101.084,2.75412,99.271,225.811,100.455,102.934,123.987,113.553,106.153,104.192,3284414893
Machine 1,camembert,XoShiRo128++,70.6664,70.041,2.31657,68.783,182.965,69.634,70.929,93.351,80.919,72.668,72.187,971627423
Machine 1,camembert,minstd_rand0,29.5387,29.23,1.13046,28.823,134.236,29.193,29.711,40.811,36.445,30.303,30.081,1405331501
Machine 1,camembert,RDRAND,1230.02,1226.66,4.96183,1226.59,1360.86,1226.66,1234.84,1273.02,1241.16,1237.91,1235.54,876093499
Machine 2,chechil,LocalityAware,19.6976,19.584,1.43715,19.448,536.656,19.55,19.584,37.128,22.1,19.822,19.686,2634405289
Machine 2,chechil,CONG,20.6352,20.502,1.44939,20.366,447.78,20.502,20.536,32.81,23.018,20.774,20.638,2280858665
Machine 2,chechil,GLIBC_CRAND,20.67,20.502,1.49109,20.366,410.006,20.502,20.638,33.762,23.018,20.876,20.774,1087058201
Machine 2,chechil,DRAND48,20.657,20.502,1.52929,20.366,450.5,20.502,20.638,32.47,23.018,20.876,20.74,1107936137
Machine 2,chechil,Taus88,50.3499,50.048,2.27823,49.708,570.418,50.014,50.15,64.532,57.8,50.728,50.626,2325260976
Machine 2,chechil,Taus113,64.3828,63.954,2.57073,63.546,516.902,63.954,64.328,80.41,71.944,65.11,64.736,265456010
Machine 2,chechil,JKISS,65.2461,64.77,2.71694,64.362,518.16,64.736,65.144,82.246,72.658,66.776,65.552,1214960182
Machine 2,chechil,JKISS32,71.7697,71.298,2.70184,70.856,570.248,71.298,71.332,88.638,79.968,72.624,72.182,3303862722
Machine 2,chechil,mt19937,36.8053,42.602,7.83776,26.962,451.928,27.302,42.67,56.644,47.838,43.18,43.146,4069374908
Machine 2,chechil,KISS11,80.1142,78.71,6.51501,78.2,487.22,78.676,79.186,133.586,125.29,86.462,79.764,3049490538
Machine 2,chechil,XorShift32,21.6082,21.42,1.63217,21.182,439.518,21.386,21.624,34.884,24.004,21.76,21.658,1410523384
Machine 2,chechil,XorShift128,64.462,63.954,2.6878,63.546,512.788,63.92,64.328,81.056,71.944,65.11,64.736,652624301
Machine 2,chechil,XorWow,94.2614,93.432,3.36406,92.854,478.346,93.432,94.01,118.558,104.822,96.356,94.588,3284414893
Machine 2,chechil,XoShiRo128++,65.4645,64.77,3.14659,64.362,495.686,64.77,65.518,88.162,73.508,66.368,65.552,971627423
Machine 2,chechil,minstd_rand0,27.3879,27.166,1.89512,26.928,625.94,27.132,27.336,40.052,30.498,27.676,27.506,1405331501
Machine 2,chechil,RDRAND,1116.26,1113.06,10.2646,1109.83,1680.62,1112.51,1119.86,1245.11,1161.37,1126.05,1121.59,528936172
Machine 3,kasseri,LocalityAware,21.0053,20.892,2.49943,19.874,283.798,20.864,20.92,68.06,21.372,20.94,20.934,2634405289
Machine 3,kasseri,CONG,23.0232,22.82,3.03864,21.862,665.076,22.784,22.856,76.298,23.474,23.312,23.268,2280858665
Machine 3,kasseri,GLIBC_CRAND,22.8942,22.79,2.64335,21.348,393.098,22.756,22.828,75.836,23.328,23.224,22.844,1087058201
Machine 3,kasseri,DRAND48,22.9323,22.798,2.83793,21.344,683.946,22.764,22.834,75.638,23.336,23.278,22.864,1107936137
Machine 3,kasseri,Taus88,61.0693,60.246,4.94118,57.778,810.586,59.786,61.37,123.094,65.772,64.112,62.23,2325260976
Machine 3,kasseri,Taus113,79.3922,78.804,5.34848,76.334,760.268,78.626,78.902,144.424,84.694,80.86,80.294,265456010
Machine 3,kasseri,JKISS,76.9611,76.14,6.15097,72.884,790.15,76.032,76.596,155.168,82.514,78.834,77.988,1214960182
Machine 3,kasseri,JKISS32,82.3072,81.562,6.94669,77.42,1687.27,80.97,82.702,181.156,87.666,84.65,84.082,3303862722
Machine 3,kasseri,mt19937,44.79,52.064,10.4288,31.58,766.842,32.706,52.502,106.988,56.1,52.806,52.676,4069374908
Machine 3,kasseri,KISS11,90.8776,89.874,6.50107,87.134,819.394,89.26,91.434,190.1,96.52,93.362,92.308,3049490538
Machine 3,kasseri,XorShift32,25.2725,25.112,2.77462,24.226,672.092,25.076,25.152,78.372,26.044,25.636,25.166,1410523384
Machine 3,kasseri,XorShift128,75.6569,74.854,5.55504,71.44,821.352,74.77,75.09,140.634,80.128,76.768,76.406,652624301
Machine 3,kasseri,XorWow,113.431,112.164,8.15031,107.548,1227.5,111.33,114.286,218.282,157.156,116.588,115.85,3284414893
Machine 3,kasseri,XoShiRo128++,78.2723,77.712,5.38777,74.356,749.724,77.2,78.378,145.818,82.272,79.69,79.546,971627423
Machine 3,kasseri,minstd_rand0,23.5963,23.41,3.47776,22.98,1292.26,23.376,23.446,76.902,24.13,23.896,23.488,1405331501
Machine 3,kasseri,RDRAND,3887.26,3844.18,179.041,3842.03,19794.5,3843.65,3847.57,5479.06,4602.08,4056.78,3952.45,3445130640
Machine 4,hellokitty-1,LocalityAware,24.2995,23.74,2.79221,23.736,175.775,23.739,23.743,57.936,31.048,28.964,24.458,2634405289
Machine 4,hellokitty-1,CONG,25.5581,25.361,2.24001,24.504,122.689,25.305,25.397,59.4,27.726,26.039,25.398,2280858665
Machine 4,hellokitty-1,GLIBC_CRAND,25.5893,25.363,2.39318,24.608,126.136,25.305,25.397,59.603,27.81,26.074,25.398,1087058201
Machine 4,hellokitty-1,DRAND48,25.5267,25.312,2.27683,25.165,118.792,25.311,25.321,59.517,26.985,25.997,25.376,1107936137
Machine 4,hellokitty-1,Taus88,61.7672,61.217,3.80705,61.213,166.84,61.216,61.219,101.6,93.412,63.072,61.22,2325260976
Machine 4,hellokitty-1,Taus113,80.258,79.567,4.35155,79.566,220.371,79.566,79.569,121.375,113.043,81.976,79.57,265456010
Machine 4,hellokitty-1,JKISS,78.1868,77.275,4.568,77.272,183.332,77.275,77.275,120.926,110.747,82.105,77.281,1214960182
Machine 4,hellokitty-1,JKISS32,84.13,83.396,4.49489,83.389,199.74,83.393,83.399,125.441,117.27,85.922,83.399,3303862722
Machine 4,hellokitty-1,mt19937,45.0802,52.052,9.55735,33.286,153.734,33.619,52.147,88.533,55.418,52.178,52.165,4069374908
Machine 4,hellokitty-1,KISS11,96.1398,94.867,5.23532,94.863,469.981,94.866,94.87,139.731,128.914,105.829,97.739,3049490538
Machine 4,hellokitty-1,XorShift32,28.8423,28.633,2.26605,28.529,161.368,28.596,28.655,62.506,30.449,29.444,28.659,1410523384
Machine 4,hellokitty-1,XorShift128,76.35,75.746,3.992,75.742,285.932,75.745,75.746,117.627,107.812,78.039,75.749,652624301
Machine 4,hellokitty-1,XorWow,111.018,110.161,4.82653,110.157,226.698,110.16,110.164,154.059,144.417,113.5,110.164,3284414893
Machine 4,hellokitty-1,XoShiRo128++,81.4683,80.851,4.10468,80.08,207.172,80.85,80.851,122.937,113.696,83.298,80.854,971627423
Machine 4,hellokitty-1,minstd_rand0,30.3134,30.114,2.30499,29.909,126.314,30.04,30.142,63.899,32.026,30.903,30.151,1405331501
Machine 4,hellokitty-1,RDRAND,228.015,226.478,7.16427,226.24,577.45,226.45,226.555,295.456,266.126,231.04,226.607,2846752088
Machine 5,havarti,LocalityAware,28.3789,27.883,3.00039,26.774,116.966,27.84,27.918,73.935,36.211,28.939,28.909,2634405289
Machine 5,havarti,CONG,30.9481,30.936,1.38108,28.491,118.23,30.897,30.977,55.169,33.02,30.999,30.994,2280858665
Machine 5,havarti,GLIBC_CRAND,31.2767,30.935,5.08441,28.505,140.064,30.895,30.977,105.075,39.476,31,30.995,1087058201
Machine 5,havarti,DRAND48,30.9637,30.935,1.56951,28.495,126.637,30.897,30.977,56.649,34.974,30.999,30.994,1107936137
Machine 5,havarti,Taus88,81.7576,83.023,5.49435,77.226,233.327,78.35,83.717,159.408,93.814,90.001,84.252,2325260976
Machine 5,havarti,Taus113,105.355,104.045,5.58373,101.971,273.657,103.059,105.092,174.456,123.825,111.202,110.278,265456010
Machine 5,havarti,JKISS,103.493,101.472,7.60305,98.446,285.307,99.987,102.065,179.072,126.729,124.691,110.282,1214960182
Machine 5,havarti,JKISS32,112.927,110.767,7.65931,104.039,331.825,109.265,116.425,220.231,131.906,119.55,118.268,3303862722
Machine 5,havarti,mt19937,57.4444,65.985,15.0846,40.428,627.633,41.061,66.534,180.084,94.783,68.243,67.34,4069374908
Machine 5,havarti,KISS11,126.522,125.951,13.5738,117.842,422.807,121.926,128.122,265.689,221.947,130.98,130.24,3049490538
Machine 5,havarti,XorShift32,33.5019,33.042,2.15308,32.945,147.652,32.991,33.08,60.766,37.205,35.092,35.018,1410523384
Machine 5,havarti,XorShift128,102.48,98.907,14.6787,95.784,343.554,96.926,106.619,255.87,180.672,107.117,106.687,652624301
Machine 5,havarti,XorWow,151.817,149.452,12.2272,145.256,495.554,148.417,151.517,350.867,187.597,158.658,155.755,3284414893
Machine 5,havarti,XoShiRo128++,107.997,104.793,11.8962,102.633,859.237,104.741,107.28,239.142,154.131,126.91,109.558,971627423
Machine 5,havarti,minstd_rand0,32.8035,32.653,2.43637,32.205,135.266,32.468,32.746,71.144,40.965,32.849,32.809,1405331501
Machine 5,havarti,RDRAND,6437.04,6386.5,160.453,6319.91,13655.5,6367.72,6420.46,7369.08,7009.49,6797.94,6650.65,3984533552
